Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
New Delhi,PM2.5 - Principal,1/1/2015 1:00,2015,1,1,1,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 2:00,2015,1,1,2,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 3:00,2015,1,1,3,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 4:00,2015,1,1,4,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 5:00,2015,1,1,5,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 6:00,2015,1,1,6,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 7:00,2015,1,1,7,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 8:00,2015,1,1,8,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 9:00,2015,1,1,9,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 10:00,2015,1,1,10,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 11:00,2015,1,1,11,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 12:00,2015,1,1,12,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 13:00,2015,1,1,13,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 14:00,2015,1,1,14,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 15:00,2015,1,1,15,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 16:00,2015,1,1,16,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 17:00,2015,1,1,17,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 18:00,2015,1,1,18,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 19:00,2015,1,1,19,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 20:00,2015,1,1,20,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 21:00,2015,1,1,21,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 22:00,2015,1,1,22,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/1/2015 23:00,2015,1,1,23,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 0:00,2015,1,2,0,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 1:00,2015,1,2,1,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 2:00,2015,1,2,2,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 3:00,2015,1,2,3,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 4:00,2015,1,2,4,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 5:00,2015,1,2,5,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 6:00,2015,1,2,6,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 7:00,2015,1,2,7,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 8:00,2015,1,2,8,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 9:00,2015,1,2,9,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 10:00,2015,1,2,10,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 11:00,2015,1,2,11,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 12:00,2015,1,2,12,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 13:00,2015,1,2,13,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 14:00,2015,1,2,14,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 15:00,2015,1,2,15,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 16:00,2015,1,2,16,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 17:00,2015,1,2,17,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 18:00,2015,1,2,18,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 19:00,2015,1,2,19,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 20:00,2015,1,2,20,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 21:00,2015,1,2,21,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 22:00,2015,1,2,22,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/2/2015 23:00,2015,1,2,23,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 0:00,2015,1,3,0,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 1:00,2015,1,3,1,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 2:00,2015,1,3,2,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 3:00,2015,1,3,3,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 4:00,2015,1,3,4,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 5:00,2015,1,3,5,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 6:00,2015,1,3,6,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 7:00,2015,1,3,7,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 8:00,2015,1,3,8,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 9:00,2015,1,3,9,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 10:00,2015,1,3,10,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 11:00,2015,1,3,11,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 12:00,2015,1,3,12,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 13:00,2015,1,3,13,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 14:00,2015,1,3,14,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 15:00,2015,1,3,15,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 16:00,2015,1,3,16,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 17:00,2015,1,3,17,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 18:00,2015,1,3,18,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 19:00,2015,1,3,19,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
New Delhi,PM2.5 - Principal,1/3/2015 20:00,2015,1,3,20,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
